#Run,StartTime,StopTime,Delivered,Recorded
172590,2011-08-03 21:19:52.421973,2011-08-03 21:23:45.730133,265350.349105,0.26380750637
172592,2011-08-03 21:23:56.666648,2011-08-03 21:23:56.666648,510605.084414,0.261717496162
172593,2011-08-03 21:30:56.412033,2011-08-03 21:36:46.374273,401967.375626,0.0
172596,2011-08-03 21:36:59.861114,2011-08-03 21:45:56.469882,602955.062002,0.0
172597,2011-08-03 21:46:01.100931,2011-08-03 21:54:11.048067,552712.167662,0.0
172598,2011-08-03 21:54:30.473271,2011-08-03 22:00:20.435511,401974.263383,0.0
172599,2011-08-03 22:00:40.575021,2011-08-03 22:06:53.868077,427099.661425,0.0
172601,2011-08-03 22:06:54.783045,2011-08-03 22:22:04.684869,1004951.49114,0.0
172604,2011-08-03 22:22:18.822381,2011-08-03 22:37:52.055021,1030086.95128,0.0
172606,2011-08-03 22:38:05.906568,2011-08-03 23:15:25.664904,2437100.31537,0.0
172609,2011-08-03 23:15:29.019922,2011-08-03 23:20:32.320530,351747.798186,0.0
172610,2011-08-03 23:20:41.267493,2011-08-03 23:26:31.229733,401999.261452,0.0
172611,2011-08-03 23:26:49.396985,2011-08-04 00:00:39.177977,2211049.71121,0.0
172615,2011-08-04 00:00:57.688682,2011-08-04 00:14:34.267242,904529.335439,0.0
172617,2011-08-04 00:14:44.545410,2011-08-04 00:23:17.823362,577897.416307,0.0
172619,2011-08-04 00:23:40.952886,2011-08-04 01:01:00.711222,2051128.81041,1580068.56356
172620,2011-08-04 01:01:48.223741,2011-08-04 04:16:13.631741,9989802.25302,9863178.47129
172630,2011-08-04 06:44:10.785829,2011-08-04 07:40:33.754149,7068933.59452,6099445.53191
172635,2011-08-04 07:49:54.682832,2011-08-04 09:33:20.679888,11549409.5678,11262737.008
172778,2011-08-05 00:40:48.726307,2011-08-05 01:02:35.252003,2568538.06237,2447202.50201
172791,2011-08-05 05:24:01.063172,2011-08-05 15:55:06.977540,58258292.8528,56498151.6535
172798,2011-08-05 15:56:06.082622,2011-08-05 16:09:42.661182,992236.064939,769353.337565
172799,2011-08-05 16:11:08.347782,2011-08-05 18:38:07.396230,9934846.31175,9496519.29961
172801,2011-08-05 18:44:56.791825,2011-08-06 02:13:40.553489,25526864.6009,24199869.7622
172802,2011-08-06 02:14:15.297709,2011-08-06 07:23:23.296429,14498844.4258,14195127.219
172819,2011-08-06 12:29:22.613209,2011-08-06 13:51:02.084569,9874442.33262,9177121.06355
172822,2011-08-06 14:01:41.022611,2011-08-07 05:11:35.132051,74903535.0969,73649842.9871
172824,2011-08-07 05:21:36.323600,2011-08-07 05:42:12.856848,1153179.40609,1108301.97602
172847,2011-08-07 17:38:23.004237,2011-08-07 17:37:59.673421,3583066.13644,3425933.4024
172865,2011-08-08 00:47:46.132228,2011-08-08 03:08:08.556804,17432026.5028,16393958.5238
172867,2011-08-08 03:16:02.795547,2011-08-08 03:20:19.434523,527351.705043,3658.85509039
172868,2011-08-08 03:21:16.808096,2011-08-08 16:07:18.515616,63882726.1994,63001941.5121
172949,2011-08-08 21:33:20.299512,2011-08-09 05:43:40.458488,50138088.9335,48253733.2736
172951,2011-08-09 05:44:04.832182,2011-08-09 06:10:54.658486,2219825.53947,1565550.92416
172952,2011-08-09 06:11:55.710528,2011-08-09 16:18:55.114304,40263385.8324,39661978.2131
172992,2011-08-10 03:49:34.837003,2011-08-10 09:58:59.112203,40495940.7584,37696503.0086
172998,2011-08-10 09:59:50.501703,2011-08-10 10:35:36.936775,3296725.43598,2851940.85772
172999,2011-08-10 10:36:34.763524,2011-08-10 12:30:07.361796,9678338.36124,9499241.89258
173198,2011-08-12 03:40:32.694433,2011-08-12 08:43:27.400097,32280904.9421,31399510.069
173236,2011-08-12 17:03:06.032141,2011-08-12 18:22:48.849421,10705982.6854,9509300.86187
173240,2011-08-12 18:23:44.015364,2011-08-12 19:19:20.322052,6902860.95375,5737724.3468
173241,2011-08-12 19:20:06.311539,2011-08-13 00:17:11.054963,31370301.3588,30595437.8529
173243,2011-08-13 00:17:56.227760,2011-08-13 00:55:15.986096,3447905.54083,3084877.40447
173244,2011-08-13 00:57:33.748689,2011-08-13 01:36:26.830289,3487407.4699,3346911.6604
173380,2011-08-16 21:55:03.177909,2011-08-16 23:06:12.717237,8567325.49168,7642525.43311
173381,2011-08-16 23:07:19.641191,2011-08-17 01:00:52.239463,12101708.7377,11722456.4912
173389,2011-08-17 03:41:04.493271,2011-08-17 07:51:06.207959,28517077.9857,27198176.6999
173406,2011-08-17 11:58:31.929236,2011-08-17 13:39:14.610580,12634635.048,12338437.0813
173430,2011-08-17 20:11:56.173393,2011-08-17 20:56:15.886417,5802074.80339,4931895.36578
173431,2011-08-17 20:57:21.299646,2011-08-17 21:03:34.592702,751342.565968,571583.410801
173438,2011-08-17 23:11:00.156343,2011-08-17 23:29:16.704695,2828033.40971,1462345.95395
173439,2011-08-17 23:30:11.995661,2011-08-18 04:23:46.761741,37218044.7305,35782585.2557
173657,2011-08-21 04:40:33.302573,2011-08-21 04:58:49.850925,2372831.41345,1613771.53965
173658,2011-08-21 04:59:45.140649,2011-08-21 05:45:14.846121,5514752.19642,4493144.59539
173659,2011-08-21 05:46:20.742346,2011-08-21 07:53:06.588362,13819348.0381,13131475.304
173660,2011-08-21 07:53:52.791638,2011-08-21 10:20:05.178454,13980047.9225,13040043.5642
173661,2011-08-21 10:20:51.255534,2011-08-21 11:14:30.908142,4728908.94148,3837598.00371
173662,2011-08-21 11:15:27.119149,2011-08-21 11:24:47.058733,827798.723437,469622.880741
173663,2011-08-21 11:25:42.639989,2011-08-21 12:16:38.976885,4255962.61813,3711355.54371
173664,2011-08-21 12:17:33.525496,2011-08-21 12:40:30.043640,1870068.39948,1747643.48078
173692,2011-08-21 22:27:36.599970,2011-08-22 16:04:29.757858,89756273.2008,88468818.132
175832,2011-09-07 12:36:30.386978,2011-09-07 13:21:36.761634,1622024.51903,1373366.11843
175833,2011-09-07 13:22:39.386901,2011-09-07 13:30:02.672405,264382.676775,2022.99218083
175834,2011-09-07 13:31:03.591637,2011-09-07 16:17:52.511701,4981040.77613,4246528.644
175835,2011-09-07 16:18:54.749644,2011-09-07 17:26:10.980812,1741971.56111,1581416.26218
175837,2011-09-07 17:27:19.010786,2011-09-07 18:37:18.557666,1702432.43876,1656477.24845
175857,2011-09-07 22:16:08.750665,2011-09-07 22:37:31.945545,1238085.13984,980381.923561
175858,2011-09-07 22:38:33.556049,2011-09-07 22:51:00.142161,705769.614475,382599.316611
175860,2011-09-07 22:52:06.784666,2011-09-07 23:25:56.565658,1817959.51637,1610338.54488
175863,2011-09-07 23:29:20.319270,2011-09-08 00:02:46.769446,1685437.47309,1384347.8779
175865,2011-09-08 00:11:06.229718,2011-09-08 00:37:56.056022,1293754.47017,1011833.88081
175866,2011-09-08 00:38:59.436282,2011-09-08 04:04:41.437946,8617764.33214,8470799.82588
175872,2011-09-08 06:56:46.735478,2011-09-08 07:13:53.291382,2245155.92482,1727274.28325
175873,2011-09-08 07:14:54.379277,2011-09-08 07:28:54.288653,1800124.79191,1382458.65906
175874,2011-09-08 07:29:47.942725,2011-09-08 08:15:17.648197,5425632.63808,4689666.4468
175875,2011-09-08 08:16:06.524562,2011-09-08 09:24:32.748178,7587583.80348,6376341.04854
175877,2011-09-08 09:25:36.402797,2011-09-08 09:53:36.221549,2940940.81527,2628867.6853
175881,2011-09-08 10:05:28.022917,2011-09-08 11:11:10.930821,6378642.48873,5777804.72977
175886,2011-09-08 11:25:25.607647,2011-09-08 13:23:14.844895,10276598.4673,9182216.23805
175887,2011-09-08 13:24:09.238818,2011-09-08 14:21:42.199586,4644956.70206,4143096.32053
175888,2011-09-08 14:22:27.598310,2011-09-08 17:12:46.495718,12418596.7447,12158099.6693
175906,2011-09-09 03:38:08.717236,2011-09-09 04:33:21.693108,8978265.42635,6991554.93919
175907,2011-09-09 04:34:11.430444,2011-09-09 04:40:01.392684,1019057.35387,9.3935947687
175910,2011-09-09 04:48:11.885445,2011-09-09 04:52:28.524421,484731.70366,306715.30948
175921,2011-09-09 10:06:00.967059,2011-09-09 12:29:30.038163,22599362.9331,21874460.5689
175971,2011-09-09 18:53:18.873274,2011-09-09 19:15:52.060602,4410918.79884,3518325.80914
175973,2011-09-09 19:21:17.710260,2011-09-09 21:07:50.353844,18634362.5523,17709362.2887
175974,2011-09-09 21:08:49.244566,2011-09-09 21:58:58.919830,7922276.32988,7331286.64078
175975,2011-09-09 21:59:54.148870,2011-09-10 00:33:29.821190,21492149.2591,20579902.8659
175976,2011-09-10 00:34:32.070055,2011-09-10 01:14:11.813287,4775597.30186,4591278.00234
175990,2011-09-10 08:46:49.703023,2011-09-10 09:30:46.085231,7476273.12152,7179315.58929
176023,2011-09-10 15:08:11.767915,2011-09-10 15:43:11.541355,6637836.05811,6390115.92281
176158,2011-09-12 11:16:11.954929,2011-09-12 11:15:48.624113,469233.845954,0.0
176159,2011-09-12 11:17:57.552019,2011-09-12 11:23:47.514259,1243365.02427,0.0
176160,2011-09-12 11:24:43.458369,2011-09-12 11:36:00.052033,2290016.78804,0.0
176161,2011-09-12 11:36:52.246206,2011-09-12 11:50:28.824766,2672233.60222,1382015.20749
176163,2011-09-12 11:56:21.804045,2011-09-12 12:35:38.216461,7225606.8966,4135845.18799
176165,2011-09-12 12:40:31.061905,2011-09-12 13:16:40.827793,6429305.77674,1742370.34758
176166,2011-09-12 13:17:34.796946,2011-09-12 13:36:38.006930,3302413.37528,2128851.22387
176167,2011-09-12 13:37:32.999085,2011-09-12 13:42:12.968877,845420.453704,124155.178934
176169,2011-09-12 13:47:49.522421,2011-09-12 14:43:49.159925,8264454.59071,7939487.91756
176201,2011-09-12 22:56:04.638942,2011-09-13 02:59:06.398942,43344124.7739,41656601.6746
176202,2011-09-13 03:00:15.366216,2011-09-13 04:44:51.355720,15348813.2626,14655463.7824
176206,2011-09-13 04:57:10.125095,2011-09-13 05:38:23.191591,5590810.71037,4750383.49035
176207,2011-09-13 05:39:31.277392,2011-09-13 07:08:34.034256,11152670.0887,10926358.1602
176286,2011-09-13 15:43:13.342070,2011-09-13 18:37:25.547638,31748891.3449,30324975.622
176289,2011-09-13 18:38:11.066830,2011-09-13 19:09:17.532110,4244622.71767,4060581.09207
176304,2011-09-14 00:38:54.297314,2011-09-14 04:13:56.238562,39957614.1986,32631202.1512
176308,2011-09-14 04:14:39.107205,2011-09-14 06:13:38.336901,18115949.4847,16946546.4053
176309,2011-09-14 06:14:36.937482,2011-09-14 17:13:42.670602,70498799.7758,68990791.0436
176461,2011-09-15 17:56:42.658045,2011-09-15 18:37:55.724541,8623944.37493,0.0
176463,2011-09-15 18:41:58.264034,2011-09-15 18:56:44.835042,3008402.74806,0.0
176464,2011-09-15 18:57:43.968008,2011-09-15 19:28:27.102472,5961081.22367,0.0
176465,2011-09-15 19:29:33.125691,2011-09-15 19:36:09.749563,1295726.31236,0.0
176466,2011-09-15 19:37:12.387800,2011-09-15 20:19:35.446744,7649473.55276,858699.270454
176467,2011-09-15 20:20:20.625333,2011-09-15 21:28:23.518133,11373796.6179,10263795.3582
176468,2011-09-15 21:29:19.702203,2011-09-15 22:53:19.158459,13059444.0312,12230723.2935
176469,2011-09-15 22:54:15.539077,2011-09-16 00:13:11.694725,11321293.4121,134934.728067
176470,2011-09-16 00:14:15.944121,2011-09-16 00:16:59.259833,136640.170518,34092.0227966
176545,2011-09-16 17:22:47.333149,2011-09-16 17:34:27.257629,2361089.09376,82554.9905767
176547,2011-09-16 17:35:24.833096,2011-09-16 18:50:27.680584,14094382.5985,12859466.8041
176548,2011-09-16 18:51:14.860989,2011-09-17 01:30:12.278205,58073352.5173,56198738.7075
176697,2011-09-18 23:44:49.751627,2011-09-19 01:42:15.658059,22958683.0142,22008283.1964
176698,2011-09-19 01:43:12.220366,2011-09-19 01:52:32.159950,1713985.6651,7499.81127573
176701,2011-09-19 01:55:29.254815,2011-09-19 02:54:35.538847,9924182.67917,9075251.55354
176702,2011-09-19 02:55:41.342488,2011-09-19 09:03:55.625240,49500104.7287,48221602.2424
176765,2011-09-19 20:40:26.653249,2011-09-19 20:40:03.322433,3841721.69643,3241412.24648
176771,2011-09-20 01:40:06.158571,2011-09-20 02:20:09.232619,7940060.07506,6580022.818
176795,2011-09-20 08:04:41.259056,2011-09-20 08:35:47.724336,6489224.80132,4801570.90195
176796,2011-09-20 08:37:04.029116,2011-09-20 09:21:00.411324,8398984.74147,7056457.0868
176797,2011-09-20 09:22:01.055798,2011-09-20 11:08:10.368566,17726508.7137,15844665.6785
176799,2011-09-20 11:09:11.762787,2011-09-20 12:44:27.812707,13631209.9271,12382723.9876
176801,2011-09-20 12:45:13.406327,2011-09-20 14:42:39.312759,14212142.9178,13328748.6943
176805,2011-09-20 14:43:44.249923,2011-09-20 15:27:17.301315,4970580.66717,4088948.98553
176807,2011-09-20 15:28:38.546450,2011-09-20 18:27:30.721810,18382194.5666,18061777.2911
176841,2011-09-21 08:36:35.925552,2011-09-21 10:01:22.043440,13480796.1494,9832678.62764
176842,2011-09-21 10:02:16.729122,2011-09-21 10:16:16.638498,2142721.66279,1486259.76099
176844,2011-09-21 10:23:24.536514,2011-09-21 11:09:17.572802,6588857.04519,5439963.48079
176848,2011-09-21 11:10:25.286203,2011-09-21 11:25:58.518843,2185345.52396,1150193.89881
176850,2011-09-21 11:30:40.432292,2011-09-21 13:30:26.323620,15270167.9894,14437072.8877
176860,2011-09-21 13:31:35.232524,2011-09-21 16:35:30.708492,20208224.6113,18752385.2557
176868,2011-09-21 16:41:33.169722,2011-09-21 19:53:38.592826,17988612.621,17699883.4559
176885,2011-09-22 02:28:24.580216,2011-09-22 03:39:34.119544,12829868.2241,11929458.1513
176886,2011-09-22 03:41:09.902126,2011-09-22 08:21:31.420462,40130309.0408,36107622.0772
176889,2011-09-22 08:22:27.399808,2011-09-22 09:01:43.812224,4352496.97956,4134022.09149
176927,2011-09-22 13:01:04.486198,2011-09-22 13:04:34.463542,765975.825881,0.0
176928,2011-09-22 13:05:34.884080,2011-09-22 13:53:24.574448,9003616.03578,8242222.3924
176929,2011-09-22 13:54:30.032949,2011-09-22 16:03:59.194677,21114416.0113,19645376.5021
176933,2011-09-22 16:04:48.360926,2011-09-22 18:55:07.258334,22866971.0196,21678088.8387
176959,2011-09-23 01:22:36.733189,2011-09-23 01:35:26.650117,1204277.16622,1089899.69749
176982,2011-09-23 07:39:13.442939,2011-09-23 07:43:06.751099,391550.832779,233603.53854
